000000 |  -16.1119 41.1781 39.9258 6.10194 15.5152 12.1848 14.1614 -46.6508 -24.7502 -4.14197 -9.97567 -27.3689 |
000001 |  -15.721 28.9878 38.0579 7.02372 14.7653 9.62138 9.53072 -33.4042 -23.8486 -0.883454 -10.3825 -23.8277 |
000002 |  -16.1665 2.47997 32.4157 9.20631 12.7883 3.0718 -0.26632 -4.43154 -20.8075 7.15011 -10.9332 -14.6647 |
000003 |  -18.9115 -22.8744 23.6999 11.3927 10.1645 -4.80295 -8.63684 22.8713 -15.6036 16.0612 -10.2991 -3.28168 |
000004 |  -22.5818 -40.3907 13.4872 12.5242 7.48166 -11.398 -12.5223 40.3875 -9.12727 22.4942 -7.62079 7.03525 |
000005 |  -25.2393 -49.5856 3.34895 12.1161 5.17527 -15.0394 -11.656 47.1023 -2.44016 24.6781 -2.82985 14.1285 |
000006 |  -25.7609 -50.6186 -5.38584 10.1963 3.49802 -15.1534 -6.51871 43.4862 3.62005 22.0799 3.62972 16.9283 |
000007 |  -24.2544 -42.8462 -11.3878 7.09069 2.58866 -11.918 2.40822 29.3621 8.26588 14.8264 11.0192 15.0373 |
000008 |  -21.279 -25.6762 -13.4191 3.37125 2.39032 -6.30189 14.1539 5.08036 10.8003 3.83201 18.3336 8.92843 |
000009 |  -17.8377 -3.22605 -11.6238 -0.00277708 2.6872 -0.219367 26.1054 -23.6486 11.1794 -8.20341 24.302 0.691512 |
000010 |  -14.7971 11.4678 -9.00639 -1.97523 3.09428 4.02899 33.597 -42.1924 10.9164 -16.7931 27.6873 -5.91397 |
000011 |  -13.2932 5.61106 -9.13568 -1.80486 3.29972 4.73035 32.7922 -36.7741 11.7271 -17.7407 27.876 -7.33926 |
000012 |  -15.225 -17.1215 -11.1637 0.734467 3.31099 1.36361 24.6543 -11.4921 12.7331 -10.2346 25.1694 -2.93724 |
000013 |  -20.574 -40.9253 -11.3441 4.82092 3.46604 -4.37573 13.7472 16.8294 11.72 1.90858 20.4847 4.01207 |
000014 |  -27.2938 -56.3926 -7.76182 9.31523 4.10534 -10.175 3.76594 37.4231 8.11384 14.1193 14.7215 9.84929 |
000015 |  -32.9333 -61.7541 -0.990323 13.1202 5.40557 -13.9477 -3.55695 47.5815 2.61543 23.2768 8.6304 12.3656 |
000016 |  -36.0152 -57.7779 7.47631 15.5724 7.37525 -14.6161 -7.54151 47.6288 -3.85369 28.0349 2.8069 10.9482 |
000017 |  -36.2211 -44.8666 16.3115 16.1808 9.90771 -11.6029 -7.62504 37.3507 -10.3938 27.7283 -2.26574 5.67465 |
000018 |  -34.2452 -22.9611 24.1589 15.0307 12.7518 -5.56246 -3.33911 16.4913 -15.9624 22.6058 -6.16631 -2.65198 |
000019 |  -31.0477 6.00312 29.9704 12.6304 15.4519 1.98707 4.77739 -12.6651 -19.3939 13.6878 -8.66226 -12.5916 |
000020 |  -26.6373 32.1393 33.5508 10.0576 17.3111 8.49005 12.9917 -39.4097 -20.394 3.62034 -9.92125 -21.6706 |
000021 |  -19.9397 39.3671 35.8395 8.58449 17.5785 11.1035 14.7205 -46.3552 -20.3507 -3.35002 -10.5395 -26.5991 |
000022 |  -12.8959 23.2493 36.7751 8.76763 15.8598 8.33842 7.55681 -28.1792 -20.2952 -3.49952 -11.0002 -24.7685 |
000023 |  -10.135 -2.35653 34.3429 10.0407 12.3959 1.07603 -3.23671 0.866313 -19.1224 3.25782 -11.0149 -16.2528 |
000024 |  -12.6161 -23.993 27.9152 11.2015 7.91022 -7.9154 -11.6529 25.7215 -15.8297 12.9682 -9.75218 -4.14096 |
000025 |  -17.1494 -37.411 18.7457 11.3049 3.28813 -15.6835 -15.3093 40.6762 -10.7187 21.0506 -6.66132 7.6654 |
000026 |  -20.7825 -42.8961 8.57771 10.0268 -0.686937 -20.2775 -14.1053 45.2601 -4.608 24.7412 -1.78856 16.3168 |
000027 |  -21.9201 -40.505 -1.22978 7.46899 -3.44795 -20.8406 -8.47331 39.5908 1.78373 22.9627 4.40588 20.254 |
000028 |  -20.5272 -29.7005 -9.20422 3.96846 -4.64857 -17.3435 1.03506 23.2797 7.78504 15.5841 11.2193 18.746 |
