000000 |  -124151 -58447.3 43826.4 255258 41715.5 -100236 -64724.2 -116087 37205 102383 257119 -17957.7 77084.4 -130702 -58278.6 -147279 210589 104628 138039 49595.6 -70321.9 -241105 -60029.5 123528 60662.2 142166 11719.2 -118261 -250874 -8169.16 -71257.8 125832 55688.5 133352 -210878 -121632 |
000001 |  -123795 -57168.4 44111 254525 41622.6 -100059 -63330.5 -113926 36186.1 101455 254113 -17386.5 74880.4 -127295 -56780.2 -144808 207669 103127 133678 47939.2 -67976 -237135 -58525.6 121374 58860.8 137893 11340 -116167 -246928 -8073.68 -69383.6 122113 53932.1 131220 -207509 -119795 |
000002 |  -122998 -53505.5 45025.1 252629 41387.4 -99640.8 -59643.4 -108534 33323.3 99092.6 246271 -15811 69224.1 -118343 -52922.1 -138355 200137 99253.5 122377 43530.9 -61873.8 -226953 -54569 115820 54295.3 126788 10260.6 -110725 -236751 -7830.65 -64683 112441 49491.9 125739 -198852 -115096 |
000003 |  -122279 -47910.7 46642.2 250176 41091.4 -99199.6 -54852.5 -102455 29082.7 96289.6 236370 -13546.1 62430.5 -106999 -48270.5 -130265 191013 94560.3 108438 37686.7 -54266.8 -214706 -49456.9 109038 49019.6 113139 8643.43 -104017 -224496 -7550.32 -59285.7 100324 44308.1 119052 -188305 -109442 |
000004 |  -122265 -41032.6 49020.9 247926 40834.8 -99010.7 -50339 -98383 23989.6 94161.7 227457 -10901.1 56890.9 -96697.4 -44500.2 -122997 183532 90711.2 96385.8 31701.6 -47500.9 -204699 -44454.1 103260 45084.6 101437 6697.53 -98161.8 -214454 -7348.77 -55386.8 89482.4 40425.2 113400 -179424 -104843 |
000005 |  -123413 -33584.6 52127.4 246494 40691.6 -99293.7 -47211.5 -98114.3 18447.7 93549.6 221748 -8044 54206.4 -90042.7 -42830.2 -118275 180053 88929.1 89484.7 26377.8 -43227.7 -199942 -40321 100006 43799.4 94915.1 4641.75 -94601 -209635 -7308.06 -54437 82603 39278.3 110346 -174691 -102727 |
000006 |  -125816 -26229.2 55783.4 246141 40677.6 -100127 -46119.7 -102281 12680.5 94890 220310 -4981.63 54937.6 -88383 -43832.5 -116839 181662 89812 89384.3 21978.7 -42226 -201844 -37268.6 99926.6 45574 95145.8 2678.84 -93943.5 -211410 -7459.38 -56943.6 81013.8 41500.9 110578 -175216 -103756 |
000007 |  -129163 -19486.4 59672.5 246718 40744.5 -101421 -47138.4 -110309 6751.31 98135.5 222971 -1611.45 58745.8 -91813 -47467.8 -118572 188205 93369.5 96190.4 18381.9 -44458.6 -210325 -35110.2 102885 50044.8 102094 964.028 -96065.7 -219593 -7775.36 -62528 84718 46934.5 113957 -180803 -107843 |
000008 |  -132812 -13696.7 63372.7 247720 40792.4 -102932 -49750.8 -120571 654.952 102740 228432 2177.37 64489.5 -99052.1 -53055.9 -122564 198203 98985.6 108326 15232.4 -49048.2 -223698 -33423.2 107942 56135.6 113987 -431.062 -100140 -232332 -8158.43 -69964.2 92375.6 54605.9 119518 -189948 -114113 |
000009 |  -135969 -9036.63 66429.6 248471 40703.6 -104331 -52903.4 -130611 -5561.81 107689 234487 6388.64 70325.3 -107382 -59236.4 -127181 208802 105369 122336 12102.2 -54251.2 -238479 -31713.4 113336 62124.3 127222 -1540.41 -104666 -246015 -8440.72 -77212.2 101261 62691 125465 -199820 -120853 |
000010 |  -137954 -5578.87 68462.1 248379 40390.2 -105308 -55271 -137732 -11696.7 111726 238598 10834 74070.9 -113172 -64171 -130400 216293 110741 133408 8689.06 -57792.4 -249876 -29622.7 116796 65964.8 137006 -2469.47 -107759 -255882 -8426.23 -81820.9 107821 68847.7 129533 -206810 -125818 |
000011 |  -138450 -3365.79 69265.3 247182 39835.4 -105687 -55765.4 -139958 -17388.9 113816 238871 15152.7 74017.3 -113377 -66215 -130598 217586 113491 137293 5013.98 -57829.7 -253677 -27129.8 116493 66081.2 139360 -3295.07 -107938 -257984 -7987.74 -81878.9 109139 71127.8 129917 -207991 -127127 |
000012 |  -137624 -2457.7 68867.8 245073 39110.2 -105495 -54071 -136952 -22251.7 113647 234979 18963.5 69817.9 -107290 -64791.8 -127433 211942 113044 132760 1444.87 -54048.5 -248660 -24575 112111 62231.9 133450 -3971.02 -104979 -251486 -7153.13 -77065.5 104614 69054.5 126302 -202780 -124329 |
000013 |  -136085 -2936.95 67518.4 242659 38359.1 -104952 -50825.4 -130165 -26045.8 111791 228326 22052.6 62687.9 -96992.7 -60741.4 -122042 201413 110198 122396 -1499.99 -47877.5 -237392 -22458.5 105059 55659.6 122131 -4341.26 -100065 -239201 -6090.05 -68874.9 96364.9 63918.6 120090 -193340 -118699 |
000014 |  -134530 -4846.4 65535.7 240616 37738.8 -104329 -47307.8 -122118 -28763.1 109405 221340 24455.4 54779.7 -86152 -55873 -116413 189662 106688 110923 -3398.03 -41578.1 -224568 -21199.6 97578.8 48372.3 110135 -4252.79 -95068.4 -225808 -4997.51 -59730.1 87860.7 57948.6 113521 -183214 -112413 |
000015 |  -133574 -8164.45 63229.8 239538 37390 -103879 -44919.4 -115358 -30554 107720 216452 26383.6 48218.3 -78143.7 -52084.1 -112433 180119 104309 102706 -4009.48 -37084.7 -214557 -21050.3 91604.1 42245.4 101713 -3654.79 -91673.7 -215536 -4009.5 -51904.8 82254 53234.6 108635 -175666 -107495 |
000016 |  -133529 -12761.5 60799.1 239719 37403.7 -103729 -44716 -111681 -31588.7 107621 215321 28067 44518.6 -75006.7 -50763.7 -111334 174950 104339 100404 -3208.56 -35463 -210094 -22153.7 88240.6 38572.7 99414.4 -2627.01 -90942 -210984 -3170.86 -46938.4 81466 51115.6 106718 -172760 -105219 |
000017 |  -134310 -18382.9 58288.4 241054 37808.1 -103845 -47163.3 -111802 -31935.3 109450 218514 29608.5 44431.5 -77312.3 -52596.5 -113582 174927 107365 104830 -919.184 -36935.4 -212136 -24607.8 87796.6 37979.2 103938 -1339.99 -93256.5 -212988 -2465.67 -45535.6 86057.3 52063.5 108238 -175233 -106004 |
000018 |  -135458 -24656.2 55599.6 243060 38566.9 -104032 -52020.3 -115235 -31490.1 112929 225390 30893.2 47897.3 -84344.1 -57502.3 -118872 179579 113237 115107 2857.42 -41033.1 -220023 -28438.9 89924 40413.2 114334 9.36208 -98353.1 -220806 -1858.59 -47582.4 95306 55719.4 112902 -182553 -109466 |
000019 |  -136295 -31117.1 52565.7 245019 39594.2 -104010 -58309.8 -120287 -29979.1 117152 234079 31573.5 53922.9 -94183.4 -64521.4 -126045 187245 120966 128686 7906.12 -46662.4 -231450 -33462.9 93663.2 45019.7 127997 1255.12 -105221 -232075 -1328.86 -52083.6 107148 60881.7 119604 -192843 -114403 |
000020 |  -136183 -37254.3 49065.9 246216 40781.3 -103523 -64489.1 -124370 -27067.1 120759 241790 31175.2 60554.4 -103854 -71780.3 -133069 195174 128692 141481 13625.8 -52192.7 -242567 -39107 97507 50098.6 140824 2300.34 -112067 -242930 -891.489 -57169.7 118238 65599.3 126436 -202918 -118885 |
000021 |  -134806 -42568.6 45144 246224 42033 -102456 -68934.3 -124885 -22577.8 122380 245689 29328.7 65341.6 -110004 -76910.2 -137496 200174 134085 148910 19024.5 -55854.4 -248979 -44395 99779 53523.3 148261 3119.04 -116719 -249005 -595.206 -60568.5 124749 67719.1 131123 -209072 -120781 |
000022 |  -132333 -46634.8 41064 245062 43297.3 -100895 -70624.6 -120495 -16714.7 121273 244171 26014.6 66439.4 -110305 -78080.7 -137534 199985 135363 147963 23077.5 -56503.3 -247783 -48293.7 99387 53769.1 147396 3717.8 -117627 -247505 -490.272 -60650.5 124085 65916.2 132045 -208779 -118778 |
