000000 |  -45.8021 27.5014 -72.5781 34.0723 39.5895 134.747 -4.4601 -49.258 -61.1758 68.8303 5.39547 29.2043 -21.2714 -28.6388 12.5219 2.63551 -21.4713 -15.0199 6.49689 31.6914 1.60669 -33.4175 3.14036 -19.7184 -7.7952 -3.60442 -5.71181 -5.56599 -5.9875 0.847984 3.12255 1.21197 0.633948 5.62149 -1.82243 -0.49215 -2.46083 2.26743 -4.81716 |
000001 |  -43.8765 25.4395 -70.5702 31.8737 40.2407 130.35 -4.01994 -48.421 -59.2898 66.4555 4.91437 28.5307 -22.2681 -29.4736 8.32506 0.936504 -15.9674 -12.0766 6.23176 27.3521 4.46363 -29.1433 3.54126 -20.2707 -7.31373 -3.23168 -5.62935 -5.13809 -6.03247 -0.106244 2.93738 0.969849 0.703682 5.45961 -1.46688 -0.274262 -2.13176 2.1468 -4.11994 |
000002 |  -38.4171 19.6823 -64.7816 25.4669 41.8008 117.148 -2.56518 -45.8567 -53.3 59.5872 3.59906 26.6466 -24.8029 -30.8213 -1.63962 -2.96555 -2.82665 -5.01642 5.55468 16.7057 11.173 -18.2565 4.49739 -21.1221 -5.94032 -2.21844 -5.34323 -3.84209 -6.14988 -2.68011 2.42164 0.326805 0.8694 5.00462 -0.523035 0.310286 -1.24647 1.80589 -2.23169 |
000003 |  -30.2642 11.3376 -55.8886 15.3417 43.2207 95.1123 0.273165 -41.4969 -42.3406 48.9288 1.77276 23.9063 -27.5318 -30.7199 -12.3139 -6.77123 11.3628 2.68635 4.74371 4.69717 17.9559 -5.13153 5.47046 -20.6537 -3.86388 -0.828468 -4.74496 -1.63681 -6.28386 -6.04246 1.68227 -0.490564 1.02025 4.34162 0.678531 1.07384 -0.0878424 1.30238 0.273983 |
000004 |  -20.5736 1.88616 -44.8527 2.11022 43.2123 64.2547 4.9981 -35.2714 -25.2328 35.4738 -0.208964 20.6797 -28.7567 -28.3336 -20.1415 -8.90732 21.9043 8.50846 4.09812 -4.63044 21.9445 6.03872 5.99077 -17.7606 -1.35257 0.58854 -3.6936 1.50586 -6.35248 -9.05445 0.865812 -1.19904 1.0214 3.58585 1.7157 1.77562 0.953744 0.713653 2.58929 |
000005 |  -10.5109 -7.28381 -32.7009 -13.6612 40.7652 24.8181 12.1591 -27.1691 -0.821811 20.3662 -2.10112 17.224 -27.2149 -23.9611 -23.7549 -8.82434 26.9642 11.383 3.86904 -9.24499 21.9974 12.5464 5.84581 -12.3288 1.28813 1.68627 -2.06964 5.54791 -6.26175 -10.6325 0.118728 -1.55756 0.767412 2.85146 2.22354 2.2048 1.50476 0.111778 3.92293 |
000006 |  -0.967937 -15.1517 -20.287 -31.3129 35.5374 -22.0042 21.9497 -17.4883 31.0084 4.78841 -3.76681 13.6822 -22.5017 -18.1986 -22.8295 -6.47626 26.1938 10.9839 4.24567 -8.57076 18.1976 13.1733 5.08112 -5.00325 3.7548 2.20108 0.171543 10.2829 -5.90894 -10.1738 -0.449942 -1.43903 0.22015 2.22022 1.99659 2.23536 1.35238 -0.452996 3.82271 |
000007 |  7.3859 -21.0926 -8.41091 -49.5987 28.0477 -72.757 33.6767 -7.0795 67.8625 -10.1315 -5.17481 10.1149 -15.1403 -11.3554 -17.3994 -1.98957 19.7489 7.22802 5.30873 -3.00039 11.396 7.99337 3.92716 3.13848 5.78682 2.01268 2.94848 15.2865 -5.21717 -7.78665 -0.787618 -0.863457 -0.580734 1.714 1.04102 1.85508 0.548566 -0.955402 2.38634 |
000008 |  14.236 -24.8967 2.42084 -66.0847 19.6216 -120.599 45.2008 2.63443 103.69 -23.385 -6.28602 6.58933 -6.57668 -3.41533 -8.39124 4.16519 8.64173 0.542342 6.86564 5.78659 3.25279 -1.28596 2.73475 10.8073 7.19332 1.16723 6.04908 19.9804 -4.17142 -4.21754 -0.913721 0.00984513 -1.52443 1.28527 -0.41972 1.16837 -0.622632 -1.38094 0.198171 |
000009 |  19.4342 -26.6049 11.7212 -77.1068 11.7664 -155.829 53.0374 10.091 129.288 -34.2096 -7.00021 3.17812 1.20103 5.27271 1.30542 10.6824 -3.99721 -7.24186 8.2351 14.3489 -3.83934 -10.9848 1.83805 16.8576 7.88781 -0.123968 9.14783 23.7796 -2.82065 -0.509935 -0.909526 0.921031 -2.45827 0.824366 -1.99381 0.3673 -1.76854 -1.71407 -1.9515 |
