000000 |  0.447955 -15.8964 -13.1472 45.6958 71.9757 187.9 -48.6018 -40.0863 -144.959 32.2371 10.1815 6.43959 -5.20734 -58.7321 -3.60829 0.176369 -12.9401 -12.2606 5.61111 32.6656 4.12209 -29.4766 6.00311 -19.688 -4.13522 7.63254 1.02379 -2.78435 -3.36507 -6.54189 2.53802 -3.55487 2.32477 2.39036 5.13019 3.97391 1.1087 0.986294 -5.57902 |
000001 |  2.0699 -17.2681 -11.1833 42.7595 71.2767 180.711 -47.2411 -38.7962 -140.641 30.0559 10.0945 6.87156 -6.29519 -59.0991 -7.29718 -0.968349 -8.92482 -10.082 5.53198 29.4269 6.13236 -26.2872 6.23576 -19.8075 -3.61318 7.96356 1.05472 -1.81547 -3.42445 -7.39667 2.29372 -3.78365 2.42039 2.15294 5.43018 4.16807 1.3566 0.86889 -4.95032 |
000002 |  6.81023 -21.2343 -5.39414 34.1973 69.1038 159.576 -43.2464 -34.9983 -127.959 23.6532 9.95928 8.03054 -9.07795 -59.6652 -16.8238 -3.81904 1.41759 -4.44596 5.31234 20.9667 11.1435 -17.8576 6.7976 -19.7558 -2.10677 8.86848 1.19791 1.05129 -3.57461 -9.63241 1.60293 -4.39652 2.65995 1.47183 6.21921 4.67952 2.00868 0.536253 -3.27644 |
000003 |  14.2981 -27.358 3.91141 20.7359 65.2547 125.793 -36.883 -28.9124 -107.732 13.4408 10.1088 9.56203 -12.253 -59.2735 -28.4728 -7.01036 14.0463 2.48835 5.01334 10.3555 16.7345 -7.07606 7.36455 -18.6085 0.210031 10.1068 1.58401 5.69219 -3.73729 -12.3671 0.58091 -5.1974 2.91892 0.433718 7.20113 5.31833 2.81731 0.0407445 -1.13067 |
000004 |  23.9371 -34.9521 16.2131 3.54666 59.4766 81.5518 -28.6047 -20.9137 -81.353 0.0687831 10.9674 11.0104 -14.139 -56.934 -38.1442 -9.13335 24.6632 8.36232 4.74806 1.0257 20.3885 2.62096 7.6092 -15.5621 3.0652 11.3464 2.37314 11.8854 -3.80003 -14.4514 -0.61347 -5.93284 3.04153 -0.838259 7.9935 5.83812 3.45655 -0.549251 0.731678 |
000005 |  34.9366 -43.1507 30.7619 -15.7987 51.576 29.977 -19.0721 -11.5367 -50.8184 -15.6253 12.9077 11.9196 -13.2989 -52.2297 -42.6928 -9.23205 30.1751 11.3906 4.66476 -4.41484 20.4952 8.41343 7.35851 -10.4098 6.11989 12.2444 3.69329 19.2875 -3.63926 -14.8551 -1.81654 -6.37502 2.89777 -2.21181 8.25402 6.0169 3.63327 -1.16952 1.62385 |
000006 |  46.3477 -50.9906 46.5554 -35.3658 41.5132 -24.8149 -9.17544 -1.46079 -18.7583 -32.6835 16.1263 11.8933 -9.07654 -45.2961 -40.573 -6.96053 29.2454 10.7003 4.88916 -4.80235 16.7476 8.86795 6.65837 -3.64036 9.01558 12.5302 5.58681 27.4137 -3.14642 -13.0273 -2.89647 -6.39344 2.43003 -3.57393 7.79058 5.72814 3.19808 -1.77437 1.17226 |
000007 |  57.0997 -57.4846 62.3265 -52.9029 29.4272 -77.7645 -0.0395566 8.54502 11.6097 -50.1078 20.572 10.6285 -1.84865 -36.664 -32.1216 -2.58071 22.377 6.46024 5.42768 -0.625961 10.0898 4.29113 5.74429 3.77719 11.4316 12.0731 7.97863 35.6519 -2.25623 -9.09452 -3.77852 -5.99402 1.67415 -4.85425 6.62443 4.98104 2.21041 -2.33828 -0.545224 |
000008 |  66.0667 -61.6969 76.5967 -65.9691 15.574 -123.197 7.03371 17.7349 36.7102 -66.9446 25.9516 7.94417 7.09478 -27.1779 -19.6582 3.06466 11.8332 -0.0433287 6.0552 6.06399 2.37918 -3.30363 4.94012 10.7749 13.1401 10.9196 10.6737 43.3265 -0.970221 -3.81766 -4.45307 -5.31626 0.750336 -6.03663 4.99028 3.91888 0.925482 -2.84648 -3.03172 |
000009 |  72.1899 -62.8378 87.8427 -72.2242 0.196356 -155.585 10.7327 25.5469 53.1173 -82.3653 31.8072 3.81646 16.1022 -18.0073 -7.17637 8.62365 1.27358 -6.4758 6.25657 12.1815 -4.22076 -10.7498 4.51002 16.5849 14.0451 9.29397 13.3805 49.7959 0.636574 1.66736 -4.9635 -4.58993 -0.171748 -7.15326 3.27215 2.77535 -0.289973 -3.28322 -5.55448 |
000010 |  74.6693 -60.3958 94.7955 -69.9052 -16.5911 -170.717 10.0188 31.7564 58.3039 -95.7275 37.635 -1.59046 23.9951 -10.5459 0.823554 12.4939 -5.29865 -9.98925 5.34133 14.728 -8.05175 -14.9041 4.5185 20.9688 14.1906 7.55978 15.7547 54.5386 2.43274 6.21484 -5.3766 -4.06318 -0.921838 -8.25956 1.89052 1.80157 -1.0747 -3.62623 -7.39275 |
000011 |  73.1689 -54.2833 96.7815 -58.3475 -34.7977 -166.858 4.43544 36.532 51.3619 -106.602 42.9919 -7.94014 30.6504 -5.90978 1.4122 13.3999 -5.3593 -8.44697 2.78987 12.2214 -8.65534 -14.1031 4.79519 24.1229 13.7305 6.14175 17.4557 57.2004 4.27008 9.0154 -5.74669 -3.92594 -1.37549 -9.39591 1.17398 1.18733 -1.1803 -3.85033 -8.06134 |
000012 |  67.9214 -44.9111 93.9175 -38.2573 -54.4056 -145.247 -5.72555 40.3321 33.2759 -114.746 47.5514 -14.8006 36.808 -4.26326 -4.95451 11.0668 0.618586 -1.75524 -1.35616 5.49972 -6.85803 -9.00175 5.05534 26.3239 12.8644 5.42368 18.2037 57.6031 6.02803 9.82573 -6.08665 -4.25079 -1.48554 -10.5511 1.25812 1.00349 -0.539233 -3.93616 -7.44911 |
000013 |  59.6717 -33.136 87.0519 -11.5665 -75.153 -109.614 -19.5016 43.6883 6.56825 -120.03 51.1313 -21.7451 43.3044 -4.81671 -14.5473 6.41286 9.47794 7.93158 -6.38299 -2.75728 -4.1813 -2.11681 5.08108 27.6356 11.7616 5.64269 17.8269 55.7303 7.6425 9.02344 -6.35849 -4.97043 -1.29048 -11.645 2.04785 1.18599 0.7205 -3.87827 -5.84504 |
000014 |  49.5048 -20.1046 77.5148 19.0247 -96.3917 -65.0669 -35.5182 47.0011 -25.4407 -122.361 53.7318 -28.4369 50.4316 -6.52466 -22.3254 1.08457 17.229 17.3385 -11.1652 -9.33315 -2.0805 3.50105 4.81373 27.9067 10.5006 6.80389 16.298 51.7116 9.10518 7.48064 -6.48694 -5.89864 -0.898442 -12.5409 3.25675 1.56635 2.31366 -3.68877 -3.85596 |
000015 |  38.6578 -7.07906 66.8333 50.5536 -117.076 -16.9817 -52.279 50.4344 -59.3518 -121.65 55.5458 -34.6831 57.7215 -8.61848 -24.0769 -3.21924 20.757 23.4623 -14.5998 -11.6982 -1.47382 5.55392 4.32106 26.9769 9.05408 8.65377 13.7531 45.7983 10.4369 6.28231 -6.3904 -6.7881 -0.452599 -13.085 4.50662 1.93491 3.88481 -3.39539 -2.22306 |
000016 |  28.3753 4.70618 56.5148 80.1777 -135.878 29.7314 -68.382 53.9209 -92.149 -117.839 56.9145 -40.4468 64.0706 -10.6069 -17.656 -5.25151 18.5818 24.4461 -15.9901 -8.73061 -2.60817 3.236 3.70369 24.8706 7.3266 10.7294 10.4851 38.3283 11.6514 6.37007 -6.01587 -7.40528 -0.0885708 -13.1562 5.44859 2.11213 5.12037 -3.03528 -1.58165 |
000017 |  19.8046 14.1563 47.9056 105.407 -151.371 70.9748 -82.6351 57.2328 -121.388 -110.966 58.2231 -45.8055 68.092 -12.0409 -3.41037 -4.52062 10.9742 19.9733 -15.2875 -1.00951 -5.09971 -2.57836 3.01338 21.8566 5.22435 12.4755 6.90161 29.6819 12.7263 8.21907 -5.3647 -7.59799 0.104344 -12.7071 5.86482 2.00383 5.84905 -2.64671 -2.23593 |
000018 |  13.9068 20.4112 42.0887 124.258 -162.245 103.601 -94.1114 60.0737 -145.232 -101.243 59.7724 -50.8589 68.6632 -12.3966 15.8302 -1.48044 -0.159278 11.437 -13.1508 9.20717 -8.04026 -9.6215 2.2234 18.3695 2.72518 13.394 3.44725 20.2526 13.5932 11.6647 -4.50286 -7.33902 0.11003 -11.7828 5.72632 1.62763 6.08745 -2.26165 -4.04396 |
000019 |  11.3691 22.9278 39.8006 135.363 -167.508 125.465 -102.17 62.163 -162.433 -89.116 61.6689 -55.6208 65.5788 -11.2696 35.1622 2.43642 -11.5758 1.88289 -10.7524 18.4351 -10.1897 -15.0175 1.27204 14.8481 -0.0812538 13.1808 0.506113 10.4389 14.1463 15.9453 -3.5514 -6.73078 -0.00893217 -10.5112 5.1922 1.10446 6.01435 -1.90181 -6.46255 |
